date,open,high,low,close,volume
2025-06-14,105424.0,105788.79,105326.41,105612.59,270.63672
2025-06-14,105612.58,105840.0,105542.0,105751.28,221.74081
2025-06-14,105751.29,106179.53,105751.28,106066.59,414.68186
2025-06-14,106066.59,106252.0,105703.61,105826.32,1271.508
2025-06-14,105826.32,105826.33,105440.0,105470.35,1198.12686
2025-06-14,105470.35,105611.67,105312.88,105374.17,288.65282
2025-06-14,105374.18,105440.0,105197.96,105228.82,259.19985
2025-06-14,105228.83,105397.06,105212.09,105371.07,216.26058
2025-06-14,105371.08,105397.06,105233.95,105288.3,205.15438
2025-06-14,105288.3,105321.82,105105.13,105105.13,221.23119
2025-06-14,105105.14,105144.57,104792.98,105076.59,360.03462
2025-06-14,105076.59,105132.36,104871.06,105095.03,215.34556
2025-06-14,105095.04,105110.15,104850.54,104862.26,253.37215
2025-06-14,104862.26,105117.07,104836.06,105011.92,145.57424
2025-06-14,105011.92,105096.0,104948.38,105082.01,172.47595
2025-06-14,105082.01,105100.0,104745.1,105053.63,267.44126
2025-06-14,105053.64,105131.25,104902.28,105017.41,263.02313
2025-06-14,105017.41,105060.42,104841.96,104913.01,157.82263
2025-06-14,104913.01,104983.05,104615.38,104841.3,356.85346
2025-06-15,104841.29,104900.0,104359.5,104457.85,672.80896
2025-06-15,104457.84,104721.53,104404.9,104608.17,342.50861
2025-06-15,104608.18,104995.72,104359.08,104892.81,351.26848
2025-06-15,104892.82,105045.78,104630.19,104645.67,320.70643
2025-06-15,104645.66,104991.0,104300.0,104894.29,372.96357
2025-06-15,104894.3,105458.71,104867.14,105315.54,414.26935
2025-06-15,105315.55,105480.0,105289.45,105428.74,222.42456
2025-06-15,105428.75,105480.0,105348.81,105414.64,249.91305
2025-06-15,105414.63,105663.98,105264.75,105643.99,328.94394
2025-06-15,105643.99,105680.0,105410.5,105421.03,196.2376
2025-06-15,105421.03,105624.0,105421.03,105481.02,132.30823
2025-06-15,105481.03,105566.22,105463.54,105473.55,101.92751
2025-06-15,105473.54,105563.04,105473.54,105559.68,100.97805
2025-06-15,105559.69,106100.0,105507.65,106073.94,290.03365
2025-06-15,106073.95,106128.57,105410.43,105440.69,690.48683
2025-06-15,105440.7,105453.46,105200.0,105428.0,300.03128
2025-06-15,105428.0,105482.4,105134.69,105197.19,259.58184
2025-06-15,105197.18,105197.19,104867.64,104915.15,370.65353
2025-06-15,104915.15,105188.96,104915.14,105119.99,230.53887
2025-06-15,105119.99,105162.51,104915.14,104970.51,196.37895
2025-06-15,104970.51,105296.0,104955.48,105289.81,257.28037
2025-06-15,105289.81,105660.31,105220.65,105515.97,350.85804
2025-06-15,105515.97,105838.24,105308.82,105657.64,336.0044
2025-06-15,105657.63,105794.12,105539.0,105564.0,301.25817
2025-06-16,105563.99,105687.74,105332.0,105567.24,329.84918
2025-06-16,105567.24,105777.09,105476.4,105689.64,194.07613
2025-06-16,105689.65,105689.65,105472.0,105485.29,157.31009
2025-06-16,105485.29,105566.43,105082.97,105294.19,294.74223
2025-06-16,105294.19,105300.0,104600.13,104729.53,453.57123
